,index,Datum,Periode,Locatie,Site,Transect,Soortengroep,Aantal,Genus,Lat,Lon,Nauwkeurigheid,Meettoestel,Jaar,geometry,Mowing state,mow_shape_key,Group name,Afstand_rand
184,184,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7734460616957,2.7970895357456,30,GSM,2020,POINT (39150.2132085465 163722.99930755887),,,Other bees,
185,185,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Andrena,50.8224629704382,2.91235067881915,30,GSM,2020,POINT (47385.42627233172 169008.86773413047),,,Other bees,
186,186,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Andrena,50.7779238000985,2.79646659270189,50,GSM,2020,POINT (39116.82526840961 164221.9149410855),,,Other bees,
189,189,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7728871563922,2.79687177390121,50,GSM,2020,POINT (39133.54121030503 163661.16638782807),,,Other bees,
190,190,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7728806604173,2.79668854549788,50,GSM,2020,POINT (39120.60454002292 163660.7174249636),,,Other bees,
191,191,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7727566501599,2.79705550521873,100,GSM,2020,POINT (39146.19092263395 163646.37811798323),,,Other bees,
192,192,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7729787705939,2.79644329101108,10,GSM,2020,POINT (39103.540024629634 163671.99471848272),,,Other bees,
193,193,2020-04-10,p1,Waarmaarde,blok,V,Dagvlinders,1,Pieris,50.79342127,3.49252255,3,GPS,2020,POINT (88222.34183244444 165136.78378457576),,,Butterflies,
194,194,2020-04-10,p1,Waarmaarde,blok,V,Bijen,1,Andrena,50.7935584,3.49250218,3,GPS,2020,POINT (88221.08560316236 165152.05388199538),,,Other bees,
195,195,2020-04-10,p1,Waarmaarde,blok,V,Bijen,1,Andrena,50.79348866,3.49235902,3,GPS,2020,POINT (88210.90125438714 165144.41563231498),,,Other bees,
196,196,2020-04-10,p1,Waarmaarde,blok,V,Bijen,1,Andrena,50.79344189,3.49223706,3,GPS,2020,POINT (88202.24163018403 165139.31475720834),,,Other bees,
197,197,2020-04-10,p1,Waarmaarde,blok,V,Bijen,1,Lasioglossum,50.79345002,3.4922068,3,GPS,2020,POINT (88200.11894623603 165140.2442337973),,,Other bees,
198,198,2020-04-10,p1,Waarmaarde,blok,V,Bijen,1,Andrena,50.79344608,3.49221309,3,GPS,2020,POINT (88200.55722589945 165139.800751023),,,Other bees,
204,204,2020-04-10,p1,Waarmaarde,blok,V,Bijen,1,Andrena,50.79352353,3.4925839,3,GPS,2020,POINT (88226.80117323197 165148.10730655026),,,Other bees,
205,205,2020-04-10,p1,Waarmaarde,sinus,V,Dagvlinders,1,Gonepteryx,50.79399434,3.49384781,3,GPS,2020,POINT (88316.52419023798 165199.4262603242),,,Butterflies,
206,206,2020-04-10,p1,Waarmaarde,sinus,V,Bijen,1,Andrena,50.79412946,3.49363902,3,GPS,2020,POINT (88301.98152034116 165214.6291864626),,,Other bees,
207,207,2020-04-10,p1,Waarmaarde,sinus,V,Bijen,1,Andrena,50.79411839,3.49373901,3,GPS,2020,POINT (88309.01628528567 165213.3148395326),,,Other bees,
208,208,2020-04-10,p1,Waarmaarde,sinus,V,Bijen,1,Andrena,50.79405662,3.49387044,3,GPS,2020,POINT (88318.2011669013 165206.33497018088),,,Other bees,
209,209,2020-04-10,p1,Waarmaarde,sinus,V,Bijen,1,Andrena,50.79406709,3.49396767,3,GPS,2020,POINT (88325.0695736703 165207.418861161),,,Other bees,
210,210,2020-04-10,p1,Waarmaarde,sinus,V,Bijen,1,Lasioglossum,50.79415737,3.49394437,3,GPS,2020,POINT (88323.54515206003 165217.48017486464),,,Other bees,
211,211,2020-04-10,p1,Waarmaarde,sinus,V,Bijen,1,Nomada,50.79414404,3.49393842,3,GPS,2020,POINT (88323.1082230534 165216.00239808578),,,Other bees,
219,219,2020-04-10,p1,Waarmaarde,sinus,V,Bijen,1,Andrena,50.79401672,3.49427571,3,GPS,2020,POINT (88346.72039516736 165201.56051465217),,,Other bees,
220,220,2020-04-10,p1,Waarmaarde,sinus,V,Dagvlinders,1,Gonepteryx,50.7940655,3.49360893,3,GPS,2020,POINT (88299.77639534046 165207.5398069229),,,Butterflies,
221,221,2020-04-10,p1,Waarmaarde,sinus,V,Bijen,1,Andrena,50.79405402,3.49392115,3,GPS,2020,POINT (88321.77280736546 165206.00367728062),,,Other bees,
227,227,2020-04-10,p1,Waarmaarde2,sinus,V,Dagvlinders,1,Anthocharis,50.78158393,3.4712414,3,GPS,2020,POINT (86706.103645058 163838.01349268015),,,Butterflies,
228,228,2020-04-10,p1,Waarmaarde2,sinus,V,Dagvlinders,1,Gonepteryx,50.78148376,3.47091844,3,GPS,2020,POINT (86683.19444639281 163827.14665381052),,,Butterflies,
229,229,2020-04-10,p1,Waarmaarde2,sinus,V,Bijen,1,Anthophora,50.78150203,3.47087176,3,GPS,2020,POINT (86679.9272046412 163829.21861432865),,,Other bees,
230,230,2020-04-10,p1,Waarmaarde2,sinus,V,Bijen,1,Osmia,50.78143481,3.47088391,3,GPS,2020,POINT (86680.69365477745 163821.7313353559),,,Other bees,
231,231,2020-04-10,p1,Waarmaarde2,sinus,V,Dagvlinders,1,Pieris,50.78133926,3.47087067,3,GPS,2020,POINT (86679.631563361 163811.11452702153),,,Butterflies,
232,232,2020-04-10,p1,Waarmaarde2,sinus,V,Bijen,1,Andrena,50.78142324,3.47101249,3,GPS,2020,POINT (86689.74536936115 163820.33483951166),,,Other bees,
233,233,2020-04-10,p1,Waarmaarde2,sinus,V,Bijen,1,Bombus,50.78142324,3.47101249,3,GPS,2020,POINT (86689.74536936115 163820.33483951166),,,Bombus,
234,234,2020-04-10,p1,Waarmaarde2,sinus,V,Bijen,1,Nomada,50.78142324,3.47101249,3,GPS,2020,POINT (86689.74536936115 163820.33483951166),,,Other bees,
235,235,2020-04-10,p1,Waarmaarde2,sinus,V,Bijen,1,Nomada,50.78142324,3.47101249,3,GPS,2020,POINT (86689.74536936115 163820.33483951166),,,Other bees,
236,236,2020-04-10,p1,Waarmaarde2,sinus,V,Bijen,1,Bombus,50.78149432,3.47146243,3,GPS,2020,POINT (86721.5699274033 163827.85786718596),,,Bombus,
237,237,2020-04-10,p1,Waarmaarde2,sinus,V,Dagvlinders,1,Pieris,50.78159608,3.47127635,3,GPS,2020,POINT (86708.5845806523 163839.33517662343),,,Butterflies,
248,248,2020-04-10,p1,Waarmaarde2,sinus,V,Bijen,1,Bombus,50.78134504,3.47076464,3,GPS,2020,POINT (86672.16224609684 163811.84779676702),,,Bombus,
250,250,2020-04-10,p1,Waarmaarde2,sinus,V,Dagvlinders,1,Pieris,50.78143992,3.471489,3,GPS,2020,POINT (86723.37053290129 163821.78429236077),,,Butterflies,
251,251,2020-04-10,p1,Waarmaarde2,sinus,V,Dagvlinders,1,Aglais,50.78158183,3.47130988,3,GPS,2020,POINT (86710.92991273903 163837.72158114612),,,Butterflies,
265,265,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Bombus,50.78065052,3.46916059,3,GPS,2020,POINT (86558.11164703444 163735.96414145362),,,Bombus,
266,266,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Apis,50.78069159,3.46927408,3,GPS,2020,POINT (86566.17021743851 163740.43549533281),,,Apis,
267,267,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Nomada,50.78066703,3.46919898,3,GPS,2020,POINT (86560.84112704845 163737.76778361946),,,Other bees,
268,268,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Andrena,50.78051976,3.46876245,3,GPS,2020,POINT (86529.85880489813 163721.75962042436),,,Other bees,
269,269,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Andrena,50.78050677,3.46869648,3,GPS,2020,POINT (86525.18911163238 163720.37108491268),,,Other bees,
270,270,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Andrena,50.78029454,3.46876857,3,GPS,2020,POINT (86529.98696273517 163696.70303674135),,,Other bees,
271,271,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Nomada,50.78022396,3.46886974,3,GPS,2020,POINT (86537.0264084732 163688.76597212348),,,Other bees,
272,272,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Andrena,50.78027316,3.46909555,3,GPS,2020,POINT (86553.01684532312 163694.0456892848),,,Other bees,
273,273,2020-04-10,p1,Waarmaarde2,blok,V,Bijen,1,Nomada,50.78027316,3.46909555,3,GPS,2020,POINT (86553.01684532312 163694.0456892848),,,Other bees,
274,274,2020-04-10,p1,Waarmaarde2,blok,V,Dagvlinders,1,Pieris,50.78018054,3.46889069,3,GPS,2020,POINT (86538.44531882153 163683.9184473995),,,Butterflies,
275,275,2020-04-10,p1,Waarmaarde2,blok,V,Dagvlinders,1,Gonepteryx,50.78049352,3.46875717,3,GPS,2020,POINT (86529.4511085533 163718.84543924127),,,Butterflies,
312,312,2020-04-23,p2,Kemmelberg,blok,V,Dagvlinders,1,Aglais,50.77806562,2.79731493,3,GPS,2020,POINT (39176.97783993243 164236.42130690068),,,Butterflies,
313,313,2020-04-23,p2,Kemmelberg,blok,V,Dagvlinders,1,Pieris,50.77797728,2.79718928,3,GPS,2020,POINT (39167.910016604365 164226.7841428183),,,Butterflies,
314,314,2020-04-23,p2,Kemmelberg,blok,V,Dagvlinders,1,Pieris,50.77816771,2.79731099,3,GPS,2020,POINT (39176.940239007745 164247.78100164142),,,Butterflies,
315,315,2020-04-23,p2,Kemmelberg,blok,V,Bijen,1,Sphecodes,50.77844272,2.79713832,3,GPS,2020,POINT (39165.41198418324 164278.62352574244),,,Other bees,
316,316,2020-04-23,p2,Kemmelberg,blok,V,Bijen,1,Nomada,50.7784216,2.79714762,3,GPS,2020,POINT (39166.018047608755 164276.26081433054),,,Other bees,
317,317,2020-04-23,p2,Kemmelberg,blok,V,Dagvlinders,1,Pieris,50.77846427,2.79712725,3,GPS,2020,POINT (39164.68212655414 164281.03670009226),,,Butterflies,
